"timestamp","ip","campaignid","placementid","siteid","adunittype","creativeid","jvxsessionid","jvxuid","eventid","deviceid","ap_datasignal","c_params","cachemacro","clickmacro","pageurl","useragent","es_segname","date","_col19"
"1561067999189","153.221.8.171","135306","2T5XMQ","65d07bae4690f5","20","190613_AW_3x4_004_Function_001_CTA_AAW_Performance Marketing_Workout_300-250_rev0_still_JP-JA_21JUNE_LM","1561067997.7824","153.221.8.171","60","","ap_cookieData_type=inv&ap_cookieData_id=","","1561067996527980","https://googleads.g.doubleclick.net/dbm/clk?sa=L&ai=C6rOS3AEMXeycIMrk2gTzo5mYB5yD_o1X1JT6nJYJ8C4QASDRjochYImDyIT4E8gBCakCHUb8aQ7","https://googleads.g.doubleclick.net/pagead/ads?caps=interactiveVideo_inlineVideo_mraid1_mraid2_mraid3_th_autoplay_mediation_av_s","Mozilla/5.0 (iPhone; CPU iPhone OS 12_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML_ like Gecko) Mobile/15E148","_Default_","2019-06-20","2019-06-20 21:59:59.000"
"1561035597102","60.33.233.61","135306","ywF8ZA","65d07bae4690f5","20","190613_AW_3x4_004_Function_001_CTA_AAW_Performance Marketing_Apple pay_300-250_rev0_still_JP-JA_21JUNE_TN","1561035596.4465","60.33.233.61","60","","ap_cookieData_type=inv&ap_cookieData_id=","","1561035595775991","https://googleads.g.doubleclick.net/dbm/clk?sa=L&ai=C-VUhS4MLXbeuL4zX-QOplp7wD6X92I5Xx9_F0LgJ8C4QASDRjochYInL4YTsFMgBCakC05GPZNT","https://googleads.g.doubleclick.net/pagead/ads?caps=interactiveVideo_inlineVideo_mraid1_mraid2_mraid3_th_autoplay_mediation_av_s","Mozilla/5.0 (iPhone; CPU iPhone OS 12_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML_ like Gecko) Mobile/15E148","_Default_","2019-06-20","2019-06-20 12:59:57.000"
"1561035597102","211.133.212.242","135306","2qV3Xj","65d07bae4690f5","20","190613_AW_3x4_004_Function_001_CTA_AAW_Performance Marketing_Activity Coarching_300-250_rev0_still_JP-JA_21JUNE_TN","1561035597.1476","211.133.212.242","60","","ap_cookieData_type=inv&ap_cookieData_id=","","1561035596750828","https://googleads.g.doubleclick.net/dbm/clk?sa=L&ai=CjYUjTIMLXezpLZfp_AOz3qC4DOfE2I5X-bCfwcoJ8C4QASDRjochYInTzYSYFMgBCakCy3yNyjj","https://googleads.g.doubleclick.net/pagead/ads?caps=interactiveVideo_inlineVideo_mraid1_mraid2_mraid3_th_autoplay_mediation_av_s","Mozilla/5.0 (iPhone; CPU iPhone OS 12_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML_ like Gecko) Mobile/15E148","_Default_","2019-06-20","2019-06-20 12:59:57.000"
"1561035598102","221.242.152.225","135306","djF6CY","65d07bae4690f5","20","190613_AW_3x4_004_Function_001_CTA_AAW_Performance Marketing_Breathe_300-250_rev0_still_JP-JA_21JUNE_TN","1561035597.8424","221.242.152.225","60","","ap_cookieData_type=inv&ap_cookieData_id=","","1561035597401335","https://google-bidout-jp-d.openx.net/ma/1.0/rc?ts=2DAABBgABAAECAAIBAAsAAgAAAZQcGApUVjhmSGFhaURWHBbFxp3o28enwL0BFpuhqM3JnteNngEAH","https://pubads.g.doubleclick.net/gampad/ads?caps=interactiveVideo_inlineVideo_mraid1_mraid2_mraid3_th_autoplay_mediation_av_sdkA","Mozilla/5.0 (iPhone; CPU iPhone OS 12_1_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML_ like Gecko) Mobile/16C101","_Default_","2019-06-20","2019-06-20 12:59:58.000"
"1561035598102","60.155.25.236","135306","9NpYGb","65d07bae4690f5","20","190613_AW_3x4_003_Generic_001_CTA_AAW_Performance Marketing_Generic1_300-250_rev0_still_JP-JA_21JUNE_LM","1561035595.2262","60.155.25.236","60","","ap_cookieData_type=inv&ap_cookieData_id=","","1561035594507272","https://googleads.g.doubleclick.net/dbm/clk?sa=L&ai=CYzjgSoMLXYj7HovY-QOKn6DIDOHS2o5X_q7r0qIJ8C4QASDRjochYImDuYTIE8gBCakCy3yNyjj","https://googleads.g.doubleclick.net/pagead/ads?caps=interactiveVideo_inlineVideo_mraid1_mraid2_mraid3_th_autoplay_mediation_av_s","Mozilla/5.0 (iPhone; CPU iPhone OS 12_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML_ like Gecko) Mobile/15E148","_Default_","2019-06-20","2019-06-20 12:59:58.000"
"1561035598102","113.158.230.151","135306","lmL120","65d07bae4690f5","20","190613_AW_3x4_004_Function_001_CTA_AAW_Performance Marketing_Workout_300-250_rev0_still_JP-JA_21JUNE_TN","1561035597.2870","113.158.230.151","60","","ap_cookieData_type=inv&ap_cookieData_id=","","1561035596385977","https://googleads.g.doubleclick.net/dbm/clk?sa=L&ai=CCjpZTIMLXbnHF8aFtOUPh7mcKJyD_o1Xob2Y6L0J8C4QASDRjochYImDgICUFMgBCakC05GPZNT","https://googleads.g.doubleclick.net/pagead/ads?caps=interactiveVideo_inlineVideo_mraid1_mraid2_mraid3_th_autoplay_mediation_av_s","Mozilla/5.0 (iPhone; CPU iPhone OS 12_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML_ like Gecko) Mobile/15E148","_Default_","2019-06-20","2019-06-20 12:59:58.000"
"1561035598102","126.92.25.184","135306","PST4dB","65d07bae4690f5","20","190613_AW_3x4_004_Function_001_CTA_AAW_Performance Marketing_Cellular_300-250_rev0_still_JP-JA_21JUNE_TN","1561035597.7325","126.92.25.184","60","","ap_cookieData_type=inv&ap_cookieData_id=","","1561035597174420","https://googleads.g.doubleclick.net/dbm/clk?sa=L&ai=C6kfvTYMLXdTSCpSvtOUPzuyXgA3elvyNV6ux8uO_CfAuEAEg0Y6HIWCJs9qExBTIAQmpAst8jco","https://googleads.g.doubleclick.net/pagead/ads?caps=interactiveVideo_inlineVideo_mraid1_mraid2_mraid3_th_autoplay_mediation_av_s","Mozilla/5.0 (iPhone; CPU iPhone OS 12_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML_ like Gecko) Mobile/15E148","_Default_","2019-06-20","2019-06-20 12:59:58.000"
"1561035598102","61.89.211.126","135306","t10yXx","65d07bae4690f5","20","190613_AW_3x4_004_Function_001_CTA_AAW_Performance Marketing_Move_300-250_rev0_still_JP-JA_21JUNE_TN","1561035598.8562","61.89.211.126","60","","ap_cookieData_type=inv&ap_cookieData_id=","","1561035597863467","https://google-bidout-jp-d.openx.net/ma/1.0/rc?ts=2DAABBgABAAECAAIBAAsAAgAAAZUcGAo4WkxjZkVTTUNnHBa8lLLPvNe6iewBFo_J7aaDgqKY7wEAH","https://pubads.g.doubleclick.net/gampad/ads?caps=interactiveVideo_inlineVideo_mraid1_mraid2_mraid3_th_autoplay_mediation_av_sdkA","Mozilla/5.0 (iPhone; CPU iPhone OS 12_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML_ like Gecko) Mobile/15E148","_Default_","2019-06-20","2019-06-20 12:59:58.000"
"1561035598102","14.8.148.192","135306","ca1n6Y","65d07bae4690f5","20","190613_AW_3x4_004_Function_001_CTA_AAW_Performance Marketing_Activity Rings_300-250_rev0_still_JP-JA_21JUNE_TN","1561035598.8279","14.8.148.192","60","","ap_cookieData_type=inv&ap_cookieData_id=","","1561035597576799","https://googleads.g.doubleclick.net/dbm/clk?sa=L&ai=CsZMDTYMLXZ-aI7qvtOUP-set4AaG3dGNV7DN_c3pCfAuEAEg0Y6HIWCJ48iE_BPIAQmpAst8jco","https://googleads.g.doubleclick.net/pagead/ads?caps=interactiveVideo_inlineVideo_mraid1_mraid2_mraid3_th_autoplay_mediation_av_s","Mozilla/5.0 (iPhone; CPU iPhone OS 12_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML_ like Gecko) Mobile/15E148","_Default_","2019-06-20","2019-06-20 12:59:58.000"
"1561035598102","121.118.7.85","135306","ca1n6Y","65d07bae4690f5","20","190613_AW_3x4_004_Function_001_CTA_AAW_Performance Marketing_Activity Rings_300-250_rev0_still_JP-JA_21JUNE_TN","1561035597.8082","121.118.7.85","60","","ap_cookieData_type=inv&ap_cookieData_id=","","1561035597010759","https://googleads.g.doubleclick.net/dbm/clk?sa=L&ai=C-nxMTYMLXYdUgrG05Q_R5by4Cobd0Y1XsM39zekJ8C4QASDRjochYImr1ISsFMgBCakCy3yNyjj","https://googleads.g.doubleclick.net/pagead/ads?caps=interactiveVideo_inlineVideo_mraid1_mraid2_mraid3_th_autoplay_mediation_av_s","Mozilla/5.0 (iPhone; CPU iPhone OS 12_1_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML_ like Gecko) Mobile/16D57","_Default_","2019-06-20","2019-06-20 12:59:58.000"
