timestamp,ip,campaignid,placementid,siteid,adunittype,creativeid,jvxsessionid,jvxuid,eventid,deviceid,ap_datasignal,c_params,cachemacro,clickmacro,pageurl,useragent,es_segname,date,_col19
1561035597102,"60.33.233.61","135306","ywF8ZA","65d07bae4690f5","20","190613_AW_3x4_004_Function_001_CTA_AAW_Performance Marketing_Apple pay_300-250_rev0_still_JP-JA_21JUNE_TN","1561035596.4465","60.33.233.61","60","","ap_cookieData_type=inv&ap_cookieData_id=","","1561035595775991","https://googleads.g.doubleclick.net/dbm/clk?sa=L&ai=C-VUhS4MLXbeuL4zX-QOplp7wD6X92I5Xx9_F0LgJ8C4QASDRjochYInL4YTsFMgBCakC05GPZNT","https://googleads.g.doubleclick.net/pagead/ads?caps=interactiveVideo_inlineVideo_mraid1_mraid2_mraid3_th_autoplay_mediation_av_s","Mozilla/5.0 (iPhone; CPU iPhone OS 12_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML_ like Gecko) Mobile/15E148","_Default_","2019-06-20","2019-06-20 12:59:57.000"
1561035717102,"211.133.212.242","135306","2qV3Xj","65d07bae4690f5","20","190613_AW_3x4_004_Function_001_CTA_AAW_Performance Marketing_Activity Coarching_300-250_rev0_still_JP-JA_21JUNE_TN","1561035597.1476","60.33.233.6","60","","ap_cookieData_type=inv&ap_cookieData_id=","","1561035596750828","https://googleads.g.doubleclick.net/dbm/clk?sa=L&ai=CjYUjTIMLXezpLZfp_AOz3qC4DOfE2I5X-bCfwcoJ8C4QASDRjochYInTzYSYFMgBCakCy3yNyjj","https://googleads.g.doubleclick.net/pagead/ads?caps=interactiveVideo_inlineVideo_mraid1_mraid2_mraid3_th_autoplay_mediation_av_s","Mozilla/5.0 (iPhone; CPU iPhone OS 12_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML_ like Gecko) Mobile/15E148","_Default_","2019-06-20","2019-06-20 12:59:57.000"
1561035917102,"211.133.212.241","135306","2qV3Xj","65d07bae4690f5","20","190613_AW_3x4_004_Function_001_CTA_AAW_Performance Marketing_Activity Coarching_300-250_rev0_still_JP-JA_21JUNE_TN","1561035597.1476","60.33.233.6","60","","ap_cookieData_type=inv&ap_cookieData_id=","","1561035596750828","https://googleads.g.doubleclick.net/dbm/clk?sa=L&ai=CjYUjTIMLXezpLZfp_AOz3qC4DOfE2I5X-bCfwcoJ8C4QASDRjochYInTzYSYFMgBCakCy3yNyjj","https://googleads.g.doubleclick.net/pagead/ads?caps=interactiveVideo_inlineVideo_mraid1_mraid2_mraid3_th_autoplay_mediation_av_s","Mozilla/5.0 (iPhone; CPU iPhone OS 12_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML_ like Gecko) Mobile/15E148","_Default_","2019-06-20","2019-06-20 12:59:57.000"
1561067999189,"153.221.8.171","135306","2T5XMQ","65d07bae4690f5","20","190613_AW_3x4_004_Function_001_CTA_AAW_Performance Marketing_Workout_300-250_rev0_still_JP-JA_21JUNE_LM","1561067997.7824","153.221.8.171","60","","ap_cookieData_type=inv&ap_cookieData_id=","","1561067996527980","https://googleads.g.doubleclick.net/dbm/clk?sa=L&ai=C6rOS3AEMXeycIMrk2gTzo5mYB5yD_o1X1JT6nJYJ8C4QASDRjochYImDyIT4E8gBCakCHUb8aQ7","https://googleads.g.doubleclick.net/pagead/ads?caps=interactiveVideo_inlineVideo_mraid1_mraid2_mraid3_th_autoplay_mediation_av_s","Mozilla/5.0 (iPhone; CPU iPhone OS 12_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML_ like Gecko) Mobile/15E148","_Default_","2019-06-20","2019-06-20 21:59:59.000"
